,NTT_Data,ïxémÉtÉCÉãÉÄÇgÇkÇcÇf,îCìVì∞,É\ÉjÅ[
2023-03-06,1817.0,6549,5178,11840
2023-03-03,1813.0,6480,5158,11545
2023-03-02,1818.0,6416,5136,11380
2023-03-01,1872.0,6344,5122,11435
2023-02-28,1890.0,6354,5124,11430
2023-02-27,1861.0,6388,5198,11400
2023-02-24,1866.0,6388,5297,11355
2023-02-22,1845.0,6327,5312,11120
2023-02-21,1883.0,6367,5412,11350
2023-02-20,1883.0,6419,5464,11440
2023-02-17,1876.0,6399,5456,11480
2023-02-16,1894.0,6455,5498,11760
2023-02-15,1902.0,6480,5336,11705
2023-02-14,1945.0,6554,5328,11780
2023-02-13,1947.0,6532,5224,11710
2023-02-10,1975.0,6560,5307,11940
2023-02-09,2130.0,6672,5279,11945
2023-02-08,2014.0,6835,5201,11955
2023-02-07,1986.0,6884,5624,12055
2023-02-06,1997.0,6868,5621,12015
2023-02-03,2006.0,6839,5622,12200
2023-02-02,1982.0,6797,5582,11490
2023-02-01,1991.0,6790,5580,11470
2023-01-31,2003.0,6836,5625,11580
2023-01-30,2021.0,6890,5598,11600
2023-01-27,2012.0,6903,5630,11630
2023-01-26,2014.0,6920,5635,11515
2023-01-25,2003.0,6920,5574,11665
2023-01-24,2004.0,6895,5556,11670
2023-01-23,1954.0,6753,5535,11450
2023-01-20,1928.0,6709,5510,11430
2023-01-19,1922.0,6687,5535,11380
2023-01-18,1945.0,6749,5608,11350
2023-01-17,1888.0,6610,5490,11120
2023-01-16,1885.0,6511,5413,10855
2023-01-13,1907.0,6601,5397,10965
2023-01-12,1925.0,6700,5447,11145
2023-01-11,1921.0,6718,5547,11100
2023-01-10,1904.0,6583,5470,10725
2023-01-06,1885.0,6628,5483,10635
2023-01-05,1905.0,6640,5530,10385
2023-01-04,1911.0,6578,5487,10165
2022-12-30,1932.0,6625,5532,10035
2022-12-29,1944.0,6649,5608,10115
2022-12-28,1950.0,6664,5620,10180
2022-12-27,1956.0,6689,5606,10155
2022-12-26,1942.0,6736,5617,10230
2022-12-23,1920.0,6721,5614,10200
2022-12-22,1951.0,6712,5629,10280
2022-12-21,1921.0,6708,5540,10185
2022-12-20,1917.0,6822,5541,10350
2022-12-19,1979.0,7027,5592,10745
2022-12-16,2020.0,7116,5645,10855
2022-12-15,2061.0,7247,5718,11045
2022-12-14,2069.0,7245,5749,11150
2022-12-13,2050.0,7212,5692,10990
2022-12-12,2057.0,7018,5684,10875
2022-12-09,2046.0,7048,5716,10910
2022-12-08,2015.0,7024,5706,10665
2022-12-07,2050.0,7056,5782,10875
2022-12-06,2067.0,7161,5763,11015
2022-12-05,2068.0,7192,5684,11145
2022-12-02,2091.0,7197,5726,11180
2022-12-01,2121.0,7314,5808,11325
2022-11-30,2102.0,7315,5894,11255
2022-11-29,2126.0,7333,5868,11370
2022-11-28,2113.0,7423,5906,11510
2022-11-25,2129.0,7445,5959,11600
2022-11-24,2118.0,7435,5976,11690
2022-11-22,2102.0,7343,5934,11445
2022-11-21,2092.0,7335,5887,11255
2022-11-18,2100.0,7334,5920,11220
2022-11-17,2082.0,7352,5879,11195
2022-11-16,2075.0,7369,5815,11390
2022-11-15,2074.0,7397,5764,11590
2022-11-14,2078.0,7446,5659,11595
2022-11-11,2027.0,7525,5759,11630
2022-11-10,1890.0,6795,5756,11020
2022-11-09,1953.0,6991,5783,11190
2022-11-08,1970.0,7000,6225,11200
2022-11-07,2087.0,6895,6121,10845
2022-11-04,2102.0,6754,5954,10700
2022-11-02,2132.0,6806,6070,10755
2022-11-01,2154.0,6811,6075,10050
2022-10-31,2157.0,6819,6070,9988
2022-10-28,2121.0,6739,5947,9789
2022-10-27,2127.0,6766,5984,9870
2022-10-26,2147.0,6911,6072,9884
2022-10-25,2112.0,6929,5985,9791
2022-10-24,2117.0,6843,6000,9614
2022-10-21,2087.0,6781,6036,9580
2022-10-20,2079.0,6812,6096,9725
2022-10-19,2055.0,6859,6052,9805
2022-10-18,2043.0,6853,6115,9754
2022-10-17,1972.0,6778,6105,9646
2022-10-14,2007.0,6816,6169,9705
2022-10-13,1906.0,6680,6030,9305
